Event RA Dec t0 tE Ibl I0 Field Layer
OGLE-BLG501.04.165516 267.90529166666664 -29.637777777777774 2455812.471 4.103 19.988204 20.323964 EUC_LE1_VIS-67070-1-C_20250323T211745.000000Z_01_01_01.00.fits.gz 61
OGLE-BLG501.04.23278 268.02983333333333 -29.701416666666663 2456461.289 15.346 16.594663 16.834227 EUC_LE1_VIS-67070-1-C_20250323T210925.000000Z_01_01_01.00.fits.gz 68
OGLE-BLG501.04.24231 268.0419583333333 -29.70422222222222 2455638.597 5.052 18.513391 19.99704 EUC_LE1_VIS-67070-1-C_20250323T205245.000000Z_01_01_01.00.fits.gz 65
OGLE-BLG501.04.33794 268.0283333333333 -29.742944444444444 2457124.965 18.488 19.535995 19.832533 EUC_LE1_VIS-67070-1-C_20250323T233008.000000Z_01_01_01.00.fits.gz 6
OGLE-BLG501.04.37477 268.03108333333336 -29.79175 2456774.787 32.785 17.959178 18.111629 EUC_LE1_VIS-67070-1-C_20250323T232148.000000Z_01_01_01.00.fits.gz 6
OGLE-BLG501.04.40954 268.045375 -29.789694444444446 2455758.139 16.118 19.097536 21.338026 EUC_LE1_VIS-67070-1-C_20250323T232148.000000Z_01_01_01.00.fits.gz 6
OGLE-BLG501.04.42452 268.05358333333334 -29.79455555555556 2456789.007 47.701 19.470883 21.320705 EUC_LE1_VIS-67070-1-C_20250323T232148.000000Z_01_01_01.00.fits.gz 6
OGLE-BLG501.04.4710 268.0518333333333 -29.5895 2456143.627 2.002 16.505404 18.164255 EUC_LE1_VIS-67070-1-C_20250323T210925.000000Z_01_01_01.00.fits.gz 56
OGLE-BLG501.04.57508 268.00775 -29.565166666666663 2455494.553 25.011 20.290884 21.122252 EUC_LE1_VIS-67070-1-C_20250323T210105.000000Z_01_01_01.00.fits.gz 53
OGLE-BLG501.04.63685 267.9990833333333 -29.62986111111111 2457061.807 19.3 NULL NULL EUC_LE1_VIS-67070-1-C_20250323T205245.000000Z_01_01_01.00.fits.gz 56
OGLE-BLG501.04.89111 268.0027083333333 -29.79475 2456485.986 15.324 NULL NULL EUC_LE1_VIS-67070-1-C_20250323T232148.000000Z_01_01_01.00.fits.gz 6
OGLE-BLG501.05.139735 267.73429166666665 -29.576 2456859.944 0.665 NULL NULL EUC_LE1_VIS-67070-1-C_20250323T134016.000000Z_01_01_01.00.fits.gz 75
OGLE-BLG501.05.175086 267.7283333333333 -29.82294444444444 2455403.212 75.66 19.134346 20.532074 EUC_LE1_VIS-67070-1-C_20250323T132336.000000Z_01_01_01.00.fits.gz 86
OGLE-BLG501.05.18705 267.8762083333333 -29.703444444444443 2455758.7 6.416 NULL NULL EUC_LE1_VIS-67070-1-C_20250323T210105.000000Z_01_01_01.00.fits.gz 61
OGLE-BLG501.05.32504 267.85495833333334 -29.805333333333333 2456870.43 18.254 18.927254 21.313947 EUC_LE1_VIS-67070-1-C_20250323T232148.000000Z_01_01_01.00.fits.gz 1
OGLE-BLG501.05.34466 267.84975 -29.80405555555556 2456038.319 4.253 19.797834 19.955294 EUC_LE1_VIS-67070-1-C_20250323T232148.000000Z_01_01_01.00.fits.gz 1
OGLE-BLG501.05.3898 267.8557916666667 -29.59027777777778 2455809.638 91.739 18.419291 20.651266 EUC_LE1_VIS-67070-1-C_20250323T205245.000000Z_01_01_01.00.fits.gz 49
OGLE-BLG501.05.40868 267.8042083333333 -29.553722222222223 2456931.419 36.972 NULL NULL EUC_LE1_VIS-67070-1-C_20250323T155231.000000Z_01_01_01.00.fits.gz 133
OGLE-BLG501.05.71679 267.821875 -29.73886111111111 2456892.42 22.43 19.269537 19.432029 EUC_LE1_VIS-67070-1-C_20250323T233828.000000Z_01_01_01.00.fits.gz 1
